GLOBALEVENTID,SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1Code,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2Code,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Type,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,SOURCEURL
1235210336,20250330,20250330214500,202503,2025,BENIN,BEN,BEN,,,,,,0,130,130,13,3,-4.4,1.90839694656488,10,1,10,"White House, District of Columbia, United States",US,3,USDC,38.8951,-77.0364,https://www.aaj.tv/news/30451178/
1235178561,20250330,20250330151500,202503,2025,MILITARY BASE,MIL,,MIL,,,,,1,190,190,19,4,-10.0,-6.09318996415771,10,1,10,Benin,BN,1,BN,9.5,2.25,https://news.bg/int-politics/niger-izteglya-voyskite-si-ot-ezeroto-chad.html
1235188448,20250330,20250330170000,202503,2025,NIGER,NER,NER,,,,,,1,011,011,01,1,-0.1,-5.51724137931034,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.republicoftogo.com/toutes-les-rubriques/region-afrique/le-niger-se-retire-de-la-force-multinationale-du-lac-tchad
1235134819,20250330,20250330074500,202503,2025,BENIN,BEN,BEN,,,,,,0,180,180,18,4,-9.0,-6.58333333333334,2,1,2,Benin,BN,1,BN,9.5,2.25,https://leadership.ng/slain-16-travellers-jni-demands-justice-cautions-against-reprisal/
1235134878,20250330,20250330074500,202503,2025,POLICE,COP,,COP,,,,,0,154,154,15,4,-7.2,-6.58333333333334,2,1,2,Benin,BN,1,BN,9.5,2.25,https://leadership.ng/slain-16-travellers-jni-demands-justice-cautions-against-reprisal/
1235215915,20250330,20250330234500,202503,2025,BENIN,BEN,BEN,,,,,,1,110,110,11,3,-2.0,-4.21545667447307,2,1,2,Benin,BN,1,BN,9.5,2.25,https://nigerianobservernews.com/2025/03/neda-imasuen-dismisses-recall-effort-alleges-sponsorship-of-campaign-against-him/
1235220940,20250331,20250331001500,202503,2025,BENIN,BENELI,BEN,ELI,,,,,1,043,043,04,1,2.8,1.40845070422535,10,1,10,Benin,BN,1,BN,9.5,2.25,https://levenementprecis.com/?p=92281
1235198145,20250330,20250330191500,202503,2025,NIGERIA,NGA,NGA,,,,,,1,020,020,02,1,3.0,8.69565217391304,4,1,4,Benin,BN,1,BN,9.5,2.25,https://guardian.ng/news/nigeria/metro/2025-mothers-day-obaseki-celebrates-mothers-calls-for-womens-empowerment/
1235198147,20250330,20250330191500,202503,2025,NIGERIA,NGA,NGA,,,,,,1,051,051,05,1,3.4,8.69565217391304,1,1,1,Benin,BN,1,BN,9.5,2.25,https://guardian.ng/news/nigeria/metro/2025-mothers-day-obaseki-celebrates-mothers-calls-for-womens-empowerment/
1235196409,20250330,20250330190000,202503,2025,GOVERNOR,GOV,,GOV,,,,,0,051,051,05,1,3.4,11.2676056338028,10,1,10,Benin,BN,1,BN,9.5,2.25,https://nigerianobservernews.com/2025/03/eid-el-fitr-gov-okpebholo-calls-for-unity-tolerance/
1235196761,20250330,20250330190000,202503,2025,MUSLIM,MOS,,,,,,,1,051,051,05,1,3.4,11.2676056338028,10,1,10,Benin,BN,1,BN,9.5,2.25,https://nigerianobservernews.com/2025/03/eid-el-fitr-gov-okpebholo-calls-for-unity-tolerance/
1235201855,20250330,20250330194500,202503,2025,BENIN,BEN,BEN,,,,,,1,020,020,02,1,3.0,-0.44444444444444,10,1,10,Benin,BN,1,BN,9.5,2.25,https://lanouvelletribune.info/2025/03/presidentielle-de-2016-au-benin-azannai-revele-une-proposition-de-talon/
1235193804,20250330,20250330183000,202503,2025,CITIZEN,CVL,,CVL,,,,,0,051,051,05,1,3.4,-7.19322990126936,6,1,6,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/03/30/killing-of-7-suspected-kidnappers-pdp-accuses-okpebholo-of-losing-control-of-edo/
1235193902,20250330,20250330183000,202503,2025,RULER,GOV,,GOV,,,,,0,026,026,02,1,4.0,-7.19322990126936,5,1,5,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/03/30/killing-of-7-suspected-kidnappers-pdp-accuses-okpebholo-of-losing-control-of-edo/
1235193910,20250330,20250330183000,202503,2025,RULER,GOV,,GOV,,,,,0,091,091,09,2,-2.0,-7.19322990126936,5,1,5,Benin,BN,1,BN,9.5,2.25,https://dailypost.ng/2025/03/30/killing-of-7-suspected-kidnappers-pdp-accuses-okpebholo-of-losing-control-of-edo/
1235134727,20250329,20250330074500,202503,2025,PUBLIC RELATIONS OFFICER,GOV,,GOV,BENIN,BEN,BEN,,0,173,173,17,4,-5.0,-6.58333333333334,2,1,2,"Uromi, Edo, Nigeria",NI,4,NI37,6.70729,6.32843,https://leadership.ng/slain-16-travellers-jni-demands-justice-cautions-against-reprisal/
1235177068,20250330,20250330150000,202503,2025,NIGER,NER,NER,,BURKINA FASO,BFA,BFA,,1,190,190,19,4,-10.0,-1.2216404886562,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.afrik.com/l-alliance-des-etats-du-sahel-intensifie-ses-operations-militaires-au-mali
1235179744,20250330,20250330153000,202503,2025,GOVERNMENT,GOV,,GOV,TELEVISION,MED,,MED,1,010,010,01,1,0.0,-6.21468926553672,10,1,10,Benin,BN,1,BN,9.5,2.25,https://www.zonebourse.com/actualite-bourse/Le-Niger-se-retire-de-la-force-militaire-du-lac-Tchad-49477775/
1235134728,20250329,20250330074500,202503,2025,PUBLIC RELATIONS OFFICER,GOV,,GOV,BENIN,BEN,BEN,,0,173,173,17,4,-5.0,-6.58333333333334,4,1,4,Benin,BN,1,BN,9.5,2.25,https://leadership.ng/slain-16-travellers-jni-demands-justice-cautions-against-reprisal/
