SQLDATE,DATEADDED,MonthYear,Year,Actor1Name,Actor1CountryCode,Actor1Type1Code,Actor2Name,Actor2CountryCode,Actor2Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,AvgTone,NumMentions,NumSources,NumArticles,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_Lat,ActionGeo_Long,SOURCEURL,event_date,event_month,event_quarter,event_root_label,tone_category,stability_category,propagation_delay_days,source_domain,is_crisis_period,benin_role,actor1_type_label,actor2_type_label,quad_class_label
2025-12-08,2025-12-08,202512,2025,LA FRANCOPHONIE,,IGO,,,,0,111,111,11,3,-2.0,-2.64150943396226,2,1,2,Benin,BN,9.5,2.25,https://www.dailysabah.com/world/africa/benin-president-declares-nation-under-control-after-foiled-coup,2025-12-08,12,2025Q4,Désapprobation,Négatif,Neutre,0,dailysabah.com,False,Contexte,Organisation internationale,Non identifié,Conflit verbal
2025-12-08,2025-12-08,202512,2025,MILITARY,,MIL,,,,1,010,010,01,1,0.0,-2.67716535433071,8,1,8,Benin,BN,9.5,2.25,https://www.diariolibre.com/mundo/africa/2025/12/07/presidente-de-benin-asegura-que-la-situacion-esta-bajo-control/3370390,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,diariolibre.com,False,Contexte,Militaire,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,FRANCE,FRA,CVL,,,,0,0332,033,03,1,5.2,-3.60824742268041,2,1,2,Benin,BN,9.5,2.25,https://www.leparisien.fr/international/situation-sous-controle-des-soldats-arretes-ce-que-lon-sait-de-la-tentative-de-coup-detat-au-benin-07-12-2025-CBP3V4IWIZHRBLQMARXGC5D6XA.php,2025-12-08,12,2025Q4,Expression d'intention,Négatif,Stabilisant,0,leparisien.fr,False,Contexte,Civil / Population,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,FRENCH,FRA,,,,,0,111,111,11,3,-2.0,-1.27388535031847,5,1,5,Benin,BN,9.5,2.25,https://www.thedigitalcourier.com/news/national/benin-president-says-situation-under-control-after-coup-attempt/article_526d7212-5c70-5532-a89d-1df14663de01.html,2025-12-08,12,2025Q4,Désapprobation,Neutre,Neutre,0,thedigitalcourier.com,False,Contexte,Non identifié,Non identifié,Conflit verbal
2025-12-08,2025-12-08,202512,2025,COTONOU,BEN,,,,,1,042,042,04,1,1.9,-3.0716723549488,5,1,5,Ghana,GH,8.0,-2.0,https://www.channelstv.com/2025/12/08/how-i-escaped-benin-republic-foiled-coup-dele-momodu/,2025-12-08,12,2025Q4,Consultation,Négatif,Neutre,0,channelstv.com,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,GOV,,,,0,013,013,01,1,0.4,-2.91777188328913,1,1,1,Benin,BN,9.5,2.25,https://gna.org.gh/2025/12/ecowas-troops-deployed-in-benin-after-foiled-coup/,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,gna.org.gh,False,Acteur,Gouvernement,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,BENINESE,BEN,,,,,1,010,010,01,1,0.0,-2.21518987341772,1,1,1,"Bissau, Bissau, Guinea-Bissau",PU,11.85,-15.5833,https://www.globalsecurity.org/military/library/news/2025/12/mil-251207-presstv04.htm,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,globalsecurity.org,False,Acteur,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,ECOWAS,WAF,IGO,,,,1,010,010,01,1,0.0,-3.2520325203252,8,1,8,Benin,BN,9.5,2.25,https://www.premiumtimesng.com/news/top-news/841405-benin-coup-ecowas-orders-immediate-deployment-of-standby-force.html,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,premiumtimesng.com,False,Contexte,Organisation internationale,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,COTONOU,BEN,,,,,1,190,190,19,4,-10.0,-3.11111111111111,10,1,10,Nigeria,NI,10.0,8.0,https://sabq.org/world/pmahioe7l8,2025-12-08,12,2025Q4,Violence de masse,Négatif,Déstabilisant,0,sabq.org,True,Acteur,Non identifié,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,NIGERIA,NGA,,,,,0,010,010,01,1,0.0,-8.03571428571429,5,1,5,Benin,BN,9.5,2.25,https://www.bbc.com/news/articles/cgex2d3y3dxo,2025-12-08,12,2025Q4,Déclaration publique,Négatif,Neutre,0,bbc.com,True,Contexte,Non identifié,Non identifié,Coopération verbale
2025-12-08,2025-12-08,202512,2025,ARMED GROUP,,UAF,,,,1,192,192,19,4,-9.5,-0.42553191489362,6,1,6,Benin,BN,9.5,2.25,https://www.myjoyonline.com/nigeria-moves-fast-to-shield-benins-democracy-from-dawn-coup-say-tinubu/,2025-12-08,12,2025Q4,Violence de masse,Neutre,Déstabilisant,0,myjoyonline.com,True,Contexte,Forces armées non identifiées,Non identifié,Conflit matériel
2025-12-08,2025-12-08,202512,2025,BENIN,BEN,,,,,1,051,051,05,1,3.4,-5.29801324503311,5,1,5,Nigeria,NI,10.0,8.0,https://punchng.com/benin-coup-adc-hails-fgs-swift-action-seeks-same-zeal-against-insecurity/,2025-12-08,12,2025Q4,Engagement / Soutien,Négatif,Stabilisant,0,punchng.com,True,Acteur,Non identifié,Non identifié,Coopération verbale
